Coin,Quantile,Horizon,Engine,Pseudo-R2,Pinball_IS,Pinball_OOS
BTC,0.01,1,Expanding,0.3518102266369766,0.0008518096409615262,0.0012001150389833448
BTC,0.01,5,Expanding,0.19511053862530936,0.0010577343723738588,0.001273629671341809
BTC,0.01,10,Expanding,0.14567081214897615,0.0011227049062971944,0.0013784075628404764
BTC,0.05,1,Expanding,0.2338239614480887,0.0017773452444278712,0.0019147465925865384
BTC,0.05,5,Expanding,0.14912623450718654,0.001973823722763974,0.002148885173174707
BTC,0.05,10,Expanding,0.08734258761111702,0.0021171470133248284,0.0023437106013593115
BTC,0.1,1,Expanding,0.24649783162356154,0.00234444035276884,0.002566830659728872
BTC,0.1,5,Expanding,0.15245838314868787,0.002637033907252782,0.002889798945737138
BTC,0.1,10,Expanding,0.10718706291071389,0.002777890714895043,0.0030773732344346483
ETH,0.01,1,Expanding,0.25136144529791227,0.00045113696147883485,0.0004999167607011665
ETH,0.01,5,Expanding,0.25247608082905204,0.00044984316042874473,0.0005117077537531259
ETH,0.01,10,Expanding,0.25708690095788556,0.00044574405734572304,0.0005061251346536788
ETH,0.05,1,Expanding,0.3343082410966999,0.0012238599092861807,0.0012673714634943182
ETH,0.05,5,Expanding,0.2557952618029613,0.001371524166953953,0.0014177145913387556
ETH,0.05,10,Expanding,0.21902403069984733,0.0014644347476632073,0.001554030211154744
ETH,0.1,1,Expanding,0.3304954285991386,0.0015979724490898432,0.001597466798332284
ETH,0.1,5,Expanding,0.26840685681705156,0.001754553468106642,0.0017865855753566625
ETH,0.1,10,Expanding,0.2416721186747759,0.0018396975144251123,0.0018790805022749681
XRP,0.01,1,Expanding,0.3066768837042363,0.0006312647945815486,0.0008350315774848394
XRP,0.01,5,Expanding,0.2697233471275876,0.0006649106750200261,0.0008639976244460214
XRP,0.01,10,Expanding,0.2601300727372131,0.0006736452696773617,0.0008610630223890185
XRP,0.05,1,Expanding,0.3071406474090598,0.001017496730521095,0.001183264322694221
XRP,0.05,5,Expanding,0.23107640701114185,0.0011292006652735577,0.0013200052421159286
XRP,0.05,10,Expanding,0.2443299432067364,0.00110973722049731,0.001301245081710631
XRP,0.1,1,Expanding,0.3426125850234053,0.001298576703370827,0.0013155822344883667
XRP,0.1,5,Expanding,0.2596298794215407,0.0014624974079999195,0.001553388136023771
XRP,0.1,10,Expanding,0.2363610756567266,0.00150846166864122,0.001636946616315331
BNB,0.01,1,Expanding,0.20839868280184193,0.0007306380937276536,0.00102502082571239
BNB,0.01,5,Expanding,0.1378400760799141,0.0007957628033401359,0.0010164294045248538
BNB,0.01,10,Expanding,0.12648364359056818,0.0008062446481846227,0.0010668544195796023
BNB,0.05,1,Expanding,0.31561402679279127,0.0014987398064570554,0.0017711749376659522
BNB,0.05,5,Expanding,0.23631566534232196,0.0016723956315986602,0.001948238257232862
BNB,0.05,10,Expanding,0.20557287580996375,0.0017397193995270926,0.0020515384609947657
BNB,0.1,1,Expanding,0.3278626580477727,0.0016958519838918508,0.0018925306241208426
BNB,0.1,5,Expanding,0.25756664577554533,0.0018732139967288278,0.0020901249263465538
BNB,0.1,10,Expanding,0.2218327625639468,0.001963373214130048,0.002174181424328735
SOL,0.01,1,Expanding,0.1921246285446334,0.0002793737907102672,0.0003367532221188665
SOL,0.01,5,Expanding,0.09929772778686119,0.0003149182918643663,0.000397113789492833
SOL,0.01,10,Expanding,0.05660069836791948,0.0003254715568754909,0.0004153155282423484
SOL,0.05,1,Expanding,0.09506803730713131,0.0005045699586315907,0.0005519245983859839
SOL,0.05,5,Expanding,0.12265233813438647,0.0005020050476999353,0.0005476703746976556
SOL,0.05,10,Expanding,0.13868523121400844,0.0005098714058813618,0.0005617749343532476
SOL,0.1,1,Expanding,0.118296416528617,0.00042387296576763063,0.000524150149481535
SOL,0.1,5,Expanding,0.009367836801211893,0.00042040832959881974,0.0005220589948197194
SOL,0.1,10,Expanding,0.21350442889122634,0.0004060525717435228,0.0005244130670822106
